corp1234,ReliabilityIndex,MonetaryIndex,FlexibilityIndex,ImpactFactor,vertical,Objectives
corp_04595b18fd5,6,6,7,10,Ecommerce,Cryptocurrency
corp_06c317f8a9e,7,8,6,8,Blockchain,provide delivery and eatery 
corp_0aa07a595c5,8,7,8,11,Food catering,electronic gadgets
corp_0be05092603,8,6,7,12,Entertainment,Optimum revenue to customers
corp_102802fcf12,7,6,5,14,Banking,Advisory for banking
corp_160b5fec7fa,8,7,7,10,Consultancy,Improving design and decoration
corp_1ab8764a438,8,8,8,11,Interior decorators,Improved matching in marriage
corp_200afaacadf,6,6,5,15,Wedding planners,Good quality system
corp_2164c4bae0d,6,7,6,12,VR,High quality online content
corp_2183562f430,6,6,5,12,Education,Swift and fast equipment
corp_22a8aac56ca,8,7,5,13,Movers and takers,Improved treatment in less cost
corp_22c8b36bc19,4,4,4,14,Health,Increase profit from investment
corp_258ef2f332d,7,8,5,8,Investments,Improving experience
corp_2f6b247dc97,6,6,7,16,Gaming,Quality of Service
corp_30d1a3ad977,7,8,6,9,Software designers,Better Housing System
corp_3867e372b16,6,6,6,13,Housing,flexible financing solutions
corp_3a2720c2256,8,7,7,13,Factoring,
corp_3ae0a9feaad,5,5,4,18,Creditors,Fast and proper delivery
corp_3c0d80f8381,9,8,8,13,Transportation,Improve the quality of beauty products
corp_434c7437f10,8,7,7,12,Beauty,Getting upto date and relevant news
corp_44a3c841421,8,9,8,15,News,Providing rich user interface
corp_4620fee06ad,5,5,5,17,Messaging,Maximum satisfaction in minimum package
corp_4905fa7d8c3,7,8,8,12,Trip planners,Improving savings
corp_4a945c93dfb,8,6,7,12,Budget planner,Best workout techniques
corp_4acd1501d46,6,7,7,15,Fitness,Reducing waiting time and cost
corp_518ce6dcf39,6,6,6,11,Leasing,Improving quality
corp_53e62e090bb,8,8,7,13,Furnitures,Imprivng Security
corp_553ab27251e,7,8,7,15,Digital payment,Improving quality of wash
corp_5a1df3d8a0a,7,6,8,13,Washing,
corp_5f6f6c7bd54,4,5,4,14,NBFC,
corp_5f8e89442d3,7,8,7,9,Servicing,Reducing Interest Rates
corp_62f6c749fae,7,7,6,14,Banking,Provinding better recommendations
corp_6c9b04ad14e,5,6,5,15,Consultancy,Distance Learning
corp_6d3f02f6cb7,4,3,6,13,Education,Improving returns from investments
corp_795979f57fe,7,7,7,9,Investments,Improving user experience
corp_7afc6620f76,4,7,6,13,Gaming,Improving User Interface
corp_7d07f4ba33c,3,4,3,13,VR,Introducing state of the art learning techniques
corp_7d29219a7d6,9,9,9,9,Education,Reducing heart risk
corp_7d7ce7132cd,5,8,6,14,Health,Provoking people to invest more
corp_8529689edd8,7,7,8,12,Investments,Improving software components
corp_942212e7154,8,8,8,10,Software designers,Improved Package Transport
corp_99e0531f0f0,6,6,7,9,Movers and takers,Better Services
corp_9c780d1c5b5,7,7,7,14,Consultancy,Improving Financial Transactions
corp_a0f9792bf4e,6,7,6,12,Factoring,Providing all relevant news sources
corp_a278dc0661c,3,4,3,15,News,Delivery time reduce
corp_a3642c0423b,6,6,7,10,Food,Delivery time reduce
corp_a487c6188bd,7,8,6,8,Ecommerce,Improving Security
corp_a6d7f2bf581,8,7,8,11,Blockchain,Reduce Delivery Time
corp_ae951f6e2dc,8,6,7,12,Food catering,Quality of Content
corp_b18c82d7214,7,6,5,14,Entertainment,Enabling better online Transactions
corp_babb7ee2b18,8,7,7,10,Banking,Improving the efficiency
corp_bdf81de9b31,8,8,8,11,Consultancy,Variations in patterns
corp_be1b5f48062,6,6,5,15,Interior decorators,Reducing the overall budget
corp_c38abfe7c95,6,7,6,12,Wedding planners,Improving the richness of experience
corp_c4f62bfcc85,6,6,5,12,VR,Interaction between students and teachers
corp_c73a8ab9a83,8,7,5,13,Education,Better equipments
corp_ce89b4f0611,4,4,4,14,Movers and takers,Better fitness strategies
corp_d3888de758d,7,8,5,8,Health,Getting more people to invest
corp_d5009945e43,6,6,7,16,Investments,Increasing Sales
corp_da72f6243de,7,8,6,9,Gaming,Increasing Sales
corp_dcd02cd99f1,6,6,6,13,Software designers,Providing better at reasonable prices
corp_dd8051d28cf,8,7,7,13,Housing,
corp_dfa59ca7b29,5,5,4,18,Factoring,
corp_e15316068c2,9,8,8,13,Creditors,
corp_e15d5078882,8,7,7,12,Transportation,
corp_ed35bce448b,8,9,8,15,Beauty,
corp_f5861f6b118,5,5,5,17,News,
corp_fb08e6cf0e5,7,8,8,12,Messaging,
corp_fcf22708118,8,6,7,12,Trip planners,
,,,,,Ecommerce,
